1000002,14
1000003,14
1000007,15
1000008,15
1000009,15
1000010,15
1000011,15
1000012,15
1000013,15
1000014,15
1000015,15
1000016,15
1000017,167
1000022,62
1000023,2
1000024,36
1000025,191
1000026,191
1000027,63
1000029,159
1000030,47
1000032,167
1000033,62
1000037,62
1000038,12
1000040,46
1000045,164
1000047,61
1000048,113
1000051,160
1000054,164
1000058,136
1000059,167
1000061,14
1000062,136
1000064,62
1000065,166
1000066,47
1000067,60
1000068,113
1000069,113
1000070,161
1000071,71
1000072,2
1000075,129
1000079,61
1000081,61
1000082,5
1000083,14
1000084,14
1000088,14
1000089,14
1000093,59
1000094,2
1000097,62
1000098,33
1000099,61
1000101,14
1000102,14
1000105,14
1000108,62
1000109,55
1000112,62
1000113,29
1000116,12
1000117,12
1000118,15
1000119,15
1000120,15
1000121,15
1000122,14
1000124,2
1000125,127
1000126,127
1000127,127
1000129,19
1000130,14
1000131,4
1000133,61
1000135,18
1000136,19
1000137,12
1000138,12
1000139,11
1000140,4
1000141,52
1000142,52
1000143,14
1000145,8
1000146,11
1000147,11
1000148,14
1000149,14
1000150,62
1000151,62
1000152,62
1000153,62
1000154,62
1000157,150
1000158,15
1000159,15
1000160,15
1000161,62
1000162,32
1000164,166
1000165,166
1000166,127
1000167,136
1000174,62
1000178,136
1000179,167
1000180,62
1000181,108
1000183,135
1000184,150
1000185,150
1000186,150
1000191,13
1000192,13
1000193,12
1000194,28
1000197,62
1000198,123
1000199,120
1000201,14
1000202,55
1000204,14
1000205,14
1000206,62
1000207,127
1000208,11
1000214,2
1000215,15
1000216,9
1000219,14
1000221,123
1000222,123
1000229,163
1000230,44
1000231,44
1000232,15
1000233,99
1000234,47
1000239,102
1000242,127
1000243,148
1000244,148
1000245,2
1000246,2
1000247,74
1000248,2
1000249,2
1000251,74
1000253,11
1000254,13
1000255,11
1000260,14
1000261,14
1000264,64
1000265,64
1000266,64
1000270,2
1000272,62
1000280,64
1000283,2
1000286,14
1000287,2
1000289,14
1000290,62
1000291,62
1000292,62
1000295,152
1000296,152
1000298,33
1000300,15
1000301,62
1000302,62
1000303,62
1000304,62
1000305,14
1000306,19
7206029,2
1000311,62
1000312,62
1000313,62
1000314,62
1000315,62
1000316,62
1000317,62
1000318,62
1000320,11
1000326,60
7206024,2
1000329,62
1000330,60
1000331,60
1000332,57
1000334,34
1000335,58
1000336,102
1000337,15
1000338,14
1000341,9
1000346,2
1000348,63
7206020,14
1000355,7
7206018,14
1000357,47
1000362,61
1000363,71
1000364,14
1000365,130
1000366,130
1000367,130
1000368,130
1000372,26
1000373,4
1000376,2
1000378,9
1000379,63
1000389,11
1000390,11
1000391,11
1000394,57
1000402,74
1000403,2
1000408,15
1000409,15
1000410,15
1000414,50
1000416,12
1000417,150
1000419,62
1000420,15
1000421,36
1000422,36
1000425,74
1000426,62
1000427,14
1000428,176
1000429,143
1000430,14
1000431,14
1000432,62
1000433,62
1000439,57
1000440,14
1000442,33
1000445,62
1000447,11
1000448,11
1000449,11
1000452,74
7205998,2
1000453,123
1000454,127
1000455,127
1000456,59
1000457,59
7205996,2
1000459,1
1000460,15
1000467,167
1000468,167
1000472,8
1000473,12
1000476,167
1000477,11
1000478,11
1000479,123
1000480,75
1000481,60
1000482,84
1000484,12
1000486,14
1000487,2
1000488,19
1000492,166
